DATE,CNX,TATA AUTO,HDFC,LARSEN,TKK,DABUR,SUN,WIPRO,TATA STEEL,INDIAN,NTPC,BHARTI
2008-02-22T00:00:00Z,4295.350098,87.449700000000007,249.02,1029.1492,124.75,45.54028,80.607,219.764,652.9736,212.1185,164.65,411.424
2008-02-25T00:00:00Z,4346.850098,88.5806,242.13,1045.8267,126.42,44.61269,83.284,224.952,656.6252,214.9891,169.4,408.399
2008-02-26T00:00:00Z,4406.049805,88.2035,246.91,1058.3528,125.74,45.4961,83.43,226.314,656.9497,225.1685,169.81,406.124
2008-02-27T00:00:00Z,4407.950195,88.8943,247.43,1093.0675,124.61,44.17098,87.218,224.644,659.1406,221.9111,168.86,408.52
2008-02-28T00:00:00Z,4404.350098,89.0829,253.9,1093.0855,122.81,43.28756,92.085,230.654,668.878,221.9111,169.56,411.424
2008-02-29T00:00:00Z,4360.700195,87.9272,246.71,1056.975,122.81,44.25932,89.649,221.408,650.6204,227.184,168.27,402.228
2008-03-03T00:00:00Z,4138.950195,86.696,235.55,1003.3676,121.45,43.61884,92.608,213.728,627.1695,220.3027,157.44,382.383
2008-03-04T00:00:00Z,4045.300049,88.2035,230.18,967.041,114.68,44.12681,91.65,218.171,631.3079,210.8766,158.86,370.814
2008-03-05T00:00:00Z,4065.649902,88.5806,229.03,960.8725,118.2,44.83354,96.458,225.517,648.5107,214.1747,162.48,362.78
2008-03-07T00:00:00Z,3922.5,84.0571,217.97,896.2788,105.6,44.12681,97.416,210.62,627.7375,203.5067,154.07,364.861
2008-03-10T00:00:00Z,3927.899902,84.4343,223.14,818.9249,110.16,43.81761,92.501,205.483,659.3029,207.2527,154.57,384.319
2008-03-11T00:00:00Z,4024.399902,82.0468,226.14,875.5824,114.59,44.17098,90.333,201.887,664.7397,209.6958,160.86,380.447
2008-03-12T00:00:00Z,4010.149902,81.0416,232.27,877.6985,113.51,44.83354,92.717,200.859,623.8426,203.7917,162.15,395.936
2008-03-13T00:00:00Z,3785.100098,77.9005,223.07,843.0433,111.79,43.39798,89.668,187.503,565.5805,195.4446,155.28,377.494
2008-03-14T00:00:00Z,3868.649902,79.7914,224.27,872.7007,104.7,43.50841,93.569,189.301,580.2677,193.0015,162.44,364.474
2008-03-17T00:00:00Z,3642.350098,76.6439,204.68,812.8465,102.04,42.40414,91.529,180.645,534.6643,175.0858,156.44,357.286
2008-03-18T00:00:00Z,3642.800049,78.0516,209.46,830.0615,102.04,42.42622,92.118,186.219,518.5975,173.8643,158.36,365.877
2008-03-19T00:00:00Z,3657.800049,81.6696,220.69,852.7841,94.81,42.16119,92.176,193.154,517.5427,175.9001,159.78,375.219
2008-03-24T00:00:00Z,3656.449951,83.2653,229.55,881.6158,100.23,42.95627,93.54,205.483,479.6479,177.936,159.4,386.352
2008-03-25T00:00:00Z,3879.75,85.4394,244.36,917.5759,100.23,45.12065,91.565,224.952,515.9198,189.7441,166.48,403.244
2008-03-26T00:00:00Z,3867.25,85.3074,241.83,917.2427,102.58,46.73289,88.593,218.12,533.6905,189.337,163.82,388.191
2008-03-27T00:00:00Z,3862.25,82.436,242.83,888.4894,108.31,46.51204,91.788,221.151,531.4996,182.0078,164.27,399.324
2008-03-28T00:00:00Z,3971.149902,80.9159,238.91,945.7619,108.36,48.05802,91.496,234.764,581.0792,189.5813,170.23,406.657
2008-03-31T00:00:00Z,3825.850098,77.9887,224.78,911.2993,104.75,49.02978,88.889,214.216,563.3896,182.0485,163.77,395.548
2008-04-01T00:00:00Z,3817.449951,78.8427,223.72,869.729,107.46,46.51204,87.796,210.646,544.8074,184.0437,162.57,392.063
2008-04-02T00:00:00Z,3835.5,79.9108,224.78,861.339,108.36,46.42369,90.586,213.137,526.4686,188.1358,161.44,396.807
2008-04-03T00:00:00Z,3840.300049,79.025,225.29,854.1502,108.18,46.37952,93.002,225.158,535.7191,187.3011,161.57,395.984
2008-04-04T00:00:00Z,3747.949951,77.2725,219.34,806.2574,107.32,46.15867,90.809,213.343,536.6929,184.9598,157.69,381.076
2008-04-07T00:00:00Z,3830.5,79.785,221.9,816.163,110.16,48.78684,93.459,223.54,552.2727,183.4329,158.44,395.452
2008-04-08T00:00:00Z,3807.100098,79.251,222.61,775.685,110.16,48.80893,92.889,212.238,533.2036,184.4508,155.49,401.744
2008-04-09T00:00:00Z,3844.399902,79.1507,236.68,791.4746,115.58,48.14636,93.306,211.596,550.8121,186.4664,156.24,395.742
2008-04-10T00:00:00Z,3830.75,78.4345,225.18,806.858,114.68,47.02,94.268,208.308,555.6808,181.1934,154.94,386.763
2008-04-11T00:00:00Z,3861.699951,78.0262,227.35,833.5879,114.77,46.84332,93.225,208.051,562.5781,184.0437,155.65,394.483
2008-04-15T00:00:00Z,3938,78.7799,221.97,842.458,115.58,47.24086,93.372,220.894,561.6855,187.3011,159.44,394.653
2008-04-16T00:00:00Z,3959.75,77.1467,221.69,841.4674,115.58,47.15252,92.509,231.733,560.8741,185.2652,156.07,389.643
2008-04-17T00:00:00Z,4027.899902,77.6992,240.95,832.5379,120.28,48.38931,92.812,236.819,582.4586,184.4508,157.78,397.121
2008-04-21T00:00:00Z,4099.75,78.2084,249.13,855.4559,132.69,49.89112,97.302,233.351,629.9284,184.5323,161.77,412.054
2008-04-22T00:00:00Z,4120.850098,79.2199,257.64,877.1727,131.38,47.83717,99.807,223.976,634.8783,183.2293,163.19,414.329
2008-04-23T00:00:00Z,4105.25,79.8231,245.38,871.8146,133.55,46.688720000000004,99.668,227.624,647.1312,182.5371,163.19,409.513
2008-04-24T00:00:00Z,4083.600098,81.1864,246.57,881.5555,134.05,46.46787,97.997,231.682,629.9284,178.3432,158.53,406.1
2008-04-25T00:00:00Z,4162.549805,80.2879,254.56,895.0631,128.68,46.82123,102.063,240.929,652.2433,178.5061,160.48,443.83
2008-04-28T00:00:00Z,4156.899902,80.0365,262.24,885.0521,127.32,46.51204,106.107,236.305,631.7136,181.1934,160.78,449.856
2008-04-29T00:00:00Z,4233.25,80.1057,271.43,903.1407,132.29,47.04209,105.076,245.192,657.5989,182.8832,162.23,436.11
2008-04-30T00:00:00Z,4222.100098,82.8005,263.92,901.4838,130.03,46.71081,106.846,251.1,664.0093,187.2196,163.9,433.545
2008-05-02T00:00:00Z,4280.399902,86.8338,268.29,941.0522,127.46,47.70465,105.471,259.114,646.9689,196.1572,167.23,434.174
2008-05-05T00:00:00Z,4267.850098,86.3189,265.51,940.674,131.84,47.61631,104.546,252.23,652.3245,198.3763,165.19,432.964
2008-05-06T00:00:00Z,4217.5,85.722,270.52,919.44,134.54,48.5439,105.35,257.881,664.2528,194.6506,163.36,409.779
2008-05-07T00:00:00Z,4198.600098,85.2007,268.81,898.2897,134.54,47.04209,105.248,254.85,667.9855,187.0975,162.36,396.202
2008-05-08T00:00:00Z,4152.299805,83.8685,264,867.7173,137.25,46.15867,104.308,253.771,685.5939,182.8425,160.57,401.986
2008-05-09T00:00:00Z,4064.100098,83.8057,254.46,851.328,130.03,44.41392,101.818,258.908,685.0259,179.9719,159.9,405.616
2008-05-12T00:00:00Z,4066.300049,84.8108,256.81,853.2497,127.32,44.61269,98.498,259.422,683.8899,171.4823,160.03,405.616
2008-05-13T00:00:00Z,4041.5,82.0468,258.83,844.9947,127.86,43.75135,99.109,254.285,690.8684,169.7925,159.57,395.5
2008-05-14T00:00:00Z,4081.300049,84.0635,256.55,848.9272,129.13,44.06055,98.791,256.982,719.0256,162.0561,158.32,411.255
